Assembly,Value,Designator,Footprint,Qty,Category,Part Number,Supplier,Link,Notes
Hand solder (front),RFShield_OnePiece,J16,RF Shield_1,1,RF shield,,Mouser,https://www.mouser.com/en/ProductDetail/388-MS329-10S,RF shield - hand solder after all other assembly.
Hand solder (front),Jumper_2_Open,"JP2, JP5, JP8",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,3,Solder jumper,,,,PCB solder bridge - nothing to purchase; bridge by hand as required.
Hand solder (front),SolderJumper_3_Open,JP4,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,Solder jumper,,,,PCB solder bridge - nothing to purchase; bridge by hand as required.
External (not on PCB),Aluminium enclosure,,,1,,,Amazon,https://www.amazon.com/dp/B012SYN4OO,
External (not on PCB),M3 standoffs,,,1,Assorted M3 standoff kit,,AliExpress,https://www.aliexpress.us/item/3256808109877301.html,
External (not on PCB),Arduino Giga R1 WiFi,,,1,ABX00063 - board only,,Amazon,https://www.amazon.com/dp/B0BTTRZ9TB,Alternative with display: https://www.amazon.com/dp/B0G1L5C7MG
External (not on PCB),USB-C power supply,,,1,,,Amazon,https://www.amazon.com/dp/B0CYZHY7BX,
External (not on PCB),USB-C cable,,,1,,,Amazon,https://www.amazon.com/dp/B0CJY9PRNY,Alternative: https://www.amazon.com/dp/B0BLYXSTSQ
External (not on PCB),SMA connectors,,,1,"SMA-KWE 17 mm, 50 pcs",,AliExpress,https://www.aliexpress.us/item/3256808128195000.html,Mates with the board SMA footprints
External (not on PCB),2.54 mm header pins,,,1,"40P strip, cut to size",,AliExpress,https://www.aliexpress.us/item/3256806907643797.html,
External (not on PCB),Heat sink - LNA,,,0,,,,,TBD
External (not on PCB),Enclosure fan,,,0,,,,,TBD
External (not on PCB),0 ohm jumper resistors 0805,,,0,Only if filtering is done off-board - see filter inductor note,,,,
